Questions,Answers,b,c,v,id,Text
"How should a ""merry person"" behave according to James?",Sing psalms,59,5,13,59005013,Is anyone among you suffering? Let him pray. Is anyone cheerful? Let him sing praise.
What sacrifice did Mary and Joseph offer when the days of purification were complete after Jesus' birth?,Two turtledoves or pigeons,42,2,24,42002024,"and to offer a sacrifice according to what is said in the Law of the Lord, ""a pair of turtledoves, or two young pigeons."""
Who sat down under a tree and asked the Lord to take away his life?,Elijah,11,19,4,11019004,"But he himself went a day's journey into the wilderness and came and sat down under a broom tree. And he asked that he might die, saying, ""It is enough; now, O LORD, take away my life, for I am no better than my fathers."""
What god did the Philistines offer sacrifices to?,Dagon,7,16,23,7016023,"Now the lords of the Philistines gathered to offer a great sacrifice to Dagon their god and to rejoice, and they said, ""Our god has given Samson our enemy into our hand."""
God appeared to Jacob on the way to Egypt in a vision at Beer-sheba but what did he tell him?,Don't fear going to Egypt he would be made into a great nation there ,1,46,3,1046003,"Then he said, ""I am God, the God of your father. Do not be afraid to go down to Egypt, for there I will make you into a great nation."
What did God tell the people not to eat after the flood?,Blood,1,9,4,1009004,"But you shall not eat flesh with its life, that is, its blood."
What punishment was given to Gehazi for his greed?,Made leprous,12,5,27,12005027,"Therefore the leprosy of Naaman shall cling to you and to your descendants forever."" So he went out from his presence a leper, like snow."
How did Rahab let the invading Israelites identify her house?,She tied a red thread in the window ,6,2,18,6002018,"Behold, when we come into the land, you shall tie this scarlet cord in the window through which you let us down, and you shall gather into your house your father and mother, your brothers, and all your father's household."
Which angel told Daniel the meaning of his vision of the ram and the goat?,Gabriel,27,8,16,27008016,"And I heard a man's voice between the banks of the Ulai, and it called, ""Gabriel, make this man understand the vision."""
Which king helped Solomon with his building projects?,Hiram King of Tyre,11,7,13,11007013,And King Solomon sent and brought Hiram from Tyre.
What was Timothy advised to take to help with his illnesses?,Wine,54,5,23,54005023,"(No longer drink only water, but use a little wine for the sake of your stomach and your frequent ailments.)"
What happened to the prophet from Judah who was led to disobey God when a prophet from Bethel lied to him saying he was allowed to come back and share a meal with him?,Killed by a lion,11,13,24,11013024,"And as he went away a lion met him on the road and killed him. And his body was thrown in the road, and the donkey stood beside it; the lion also stood beside the body."
Who was the goddess of the Ephesians?,Diana,44,19,28,44019028,"When they heard this they were enraged and were crying out, ""Great is Artemis of the Ephesians!"""
How many volunteer soldiers did Gideon have initially?,32000,7,7,3,7007003,"Now therefore proclaim in the ears of the people, saying, 'Whoever is fearful and trembling, let him return home and hurry away from Mount Gilead.'"" Then 22,000 of the people returned, and 10,000 remained."
"What will Jesus ""drink new in the Kingdom of God""?",The fruit of the vine,40,26,29,40026029,"I tell you I will not drink again of this fruit of the vine until that day when I drink it new with you in my Father's kingdom."""
What objects did Gideon and his army use to defeat the Midianites?,Trumpets pitchers and lamps ,7,7,20,7007020,"Then the three companies blew the trumpets and broke the jars. They held in their left hands the torches, and in their right hands the trumpets to blow. And they cried out, ""A sword for the LORD and for Gideon!"""
How did the townspeople regard Ruth?,As a virtuous woman,8,3,11,8003011,"And now, my daughter, do not fear. I will do for you all that you ask, for all my fellow townsmen know that you are a worthy woman."
"In Revelation how many people from each tribe were ""sealed""?",12000,66,7,5,66007005,"12,000 from the tribe of Judah were sealed, 12,000 from the tribe of Reuben, 12,000 from the tribe of Gad,"
Who slept under a juniper tree after fleeing for his life?,Elijah,11,19,5,11019005,"And he lay down and slept under a broom tree. And behold, an angel touched him and said to him, ""Arise and eat."""
Who thought that the gift of God could be purchased with money?,Simon,44,8,18,44008018,"Now when Simon saw that the Spirit was given through the laying on of the apostles' hands, he offered them money,"
"What is described as a ""tree of life to them that lay hold upon her""?",Wisdom,20,3,18,20003018,She is a tree of life to those who lay hold of her; those who hold her fast are called blessed.
What relation was John Mark to Barnabas?,Cousin / Sister's son [KJV],51,4,10,51004010,"Aristarchus my fellow prisoner greets you, and Mark the cousin of Barnabas (concerning whom you have received instructions--if he comes to you, welcome him),"
"Finish the proverb: ""The rod and reproof give wisdom but a child left to himself.""..",...bringeth his mother to shame ,20,29,15,20029015,"The rod and reproof give wisdom, but a child left to himself brings shame to his mother."
Why wasn't David allowed to build God's house?,Because he was a man of war,13,28,3,13028003,"But God said to me, 'You may not build a house for my name, for you are a man of war and have shed blood.'"
Which parts of his body did Peter ask Jesus to wash after being told that unless Jesus washed his feet he would have no part with him?,Feet hands and head,43,13,9,43013009,"Simon Peter said to him, ""Lord, not my feet only but also my hands and my head!"""
What did the Holy Spirit look like when the disciples received it?,Tongues of fire,44,2,3,44002003,And divided tongues as of fire appeared to them and rested on each one of them.
Who led the people of Israel into the Promised Land?,Joshua,6,1,2,6001002,"""Moses my servant is dead. Now therefore arise, go over this Jordan, you and all this people, into the land that I am giving to them, to the people of Israel."
With what object did Jael kill Sisera?,Tent peg,7,4,21,7004021,"But Jael the wife of Heber took a tent peg, and took a hammer in her hand. Then she went softly to him and drove the peg into his temple until it went down into the ground while he was lying fast asleep from weariness. So he died."
Which of Leah's sons brought her mandrakes?,Reuben,1,30,14,1030014,"In the days of wheat harvest Reuben went and found mandrakes in the field and brought them to his mother Leah. Then Rachel said to Leah, ""Please give me some of your son's mandrakes."""
"It is ""better to obtain wisdom"" than what?",Gold,20,16,16,20016016,How much better to get wisdom than gold! To get understanding is to be chosen rather than silver.
Many of the chief rulers privately believed in Jesus. Why did they not confess this belief publicly?,They were afraid the Pharisees would put them out of the synagogue ,43,12,42,43012042,"Nevertheless, many even of the authorities believed in him, but for fear of the Pharisees they did not confess it, so that they would not be put out of the synagogue;"
When Jesus left Nazareth and began his ministry in Capernaum what message did he preach?,Repent: for the kingdom of heaven is at hand,40,4,17,40004017,"From that time Jesus began to preach, saying, ""Repent, for the kingdom of heaven is at hand."""
